animal_id,district,breed,age_years,hour,temperature,temp_24h_delta,temp_24h_mean,rumination_minutes,rumination_drop_pct,feeding_minutes,feeding_drop_pct,activity_index,activity_drop_pct,health_state,condition,days_to_symptom
MAH-SOL-TAG-1003,SOL,Dangi,8.7,280,38.4,-0.1,38.25,214.6,52.3,175.3,32.6,89.7,10.3,Clinical,Ketosis,0.0
MAH-AHM-TAG-1004,AHM,Murrah Buffalo,4.2,160,38.42,0.06,38.22,422.9,6.0,264.7,-1.8,110.3,-10.3,Healthy,Healthy,-1.0
MAH-AHM-TAG-1004,AHM,Murrah Buffalo,4.2,230,38.94,0.42,38.42,397.6,11.6,246.4,5.2,104.4,-4.4,Sub-clinical,LSD,1.4
MAH-AHM-TAG-1004,AHM,Murrah Buffalo,4.2,255,39.3,0.25,38.81,353.5,21.4,222.3,14.5,89.7,10.3,Sub-clinical,LSD,0.4
MAH-AHM-TAG-1004,AHM,Murrah Buffalo,4.2,300,40.01,0.19,39.56,314.5,30.1,198.4,23.7,75.1,24.9,Clinical,LSD,0.0
MAH-KOL-TAG-1005,KOL,Dangi,7.0,163,38.56,-0.01,38.58,470.1,-4.5,260.5,-0.2,81.0,19.0,Healthy,Healthy,-1.0
MAH-KOL-TAG-1005,KOL,Dangi,7.0,235,39.06,0.68,38.86,412.4,8.4,224.9,13.5,66.3,33.7,Sub-clinical,FMD,1.5
MAH-KOL-TAG-1005,KOL,Dangi,7.0,262,39.31,0.51,39.37,343.1,23.8,181.4,30.2,54.3,45.7,Sub-clinical,FMD,0.4
MAH-KOL-TAG-1005,KOL,Dangi,7.0,307,40.35,0.4,40.31,229.4,49.0,122.5,52.9,35.9,64.1,Clinical,FMD,0.0
MAH-KOL-TAG-1006,KOL,Dangi,8.5,69,38.15,-0.1,38.43,419.5,6.8,270.3,-4.0,88.8,11.2,Healthy,Healthy,-1.0
MAH-KOL-TAG-1006,KOL,Dangi,8.5,142,38.5,0.42,38.61,402.4,10.6,246.2,5.3,84.7,15.3,Sub-clinical,Mastitis,1.6
MAH-KOL-TAG-1006,KOL,Dangi,8.5,170,38.89,0.31,39.04,366.7,18.5,224.4,13.7,71.7,28.3,Sub-clinical,Mastitis,0.4
MAH-KOL-TAG-1006,KOL,Dangi,8.5,216,39.42,0.2,39.69,281.9,37.4,181.9,30.0,71.5,28.5,Clinical,Mastitis,0.0
MAH-SAT-TAG-1007,SAT,Gir Cross,7.8,141,38.3,0.17,38.48,450.8,4.1,256.8,1.2,87.5,12.5,Healthy,Healthy,-1.0
MAH-SAT-TAG-1007,SAT,Gir Cross,7.8,213,38.33,0.05,38.47,448.6,4.6,260.2,-0.1,95.2,4.8,Healthy,Healthy,-1.0
MAH-SAT-TAG-1007,SAT,Gir Cross,7.8,240,38.17,-0.07,38.49,468.0,0.4,244.5,6.0,89.9,10.1,Healthy,Healthy,-1.0
MAH-SAT-TAG-1007,SAT,Gir Cross,7.8,285,38.21,0.1,38.45,446.4,5.0,265.1,-2.0,87.9,12.1,Healthy,Healthy,-1.0
MAH-NAS-TAG-1008,NAS,Murrah Buffalo,7.7,124,38.35,-0.02,38.49,476.9,-6.0,249.4,4.1,95.5,4.5,Healthy,Healthy,-1.0
MAH-NAS-TAG-1008,NAS,Murrah Buffalo,7.7,191,38.09,0.08,38.43,396.9,11.8,205.6,20.9,84.6,15.4,Sub-clinical,Ketosis,1.1
MAH-NAS-TAG-1008,NAS,Murrah Buffalo,7.7,211,38.13,-0.1,38.36,299.4,33.5,191.1,26.5,88.5,11.5,Sub-clinical,Ketosis,0.3
MAH-NAS-TAG-1008,NAS,Murrah Buffalo,7.7,254,38.44,-0.09,38.21,244.4,45.7,164.9,36.6,89.5,10.5,Clinical,Ketosis,0.0
MAH-PUN-TAG-1009,PUN,Dangi,4.6,57,38.81,-0.03,38.61,442.2,1.7,258.5,0.6,120.2,-20.2,Healthy,Healthy,-1.0
MAH-PUN-TAG-1009,PUN,Dangi,4.6,133,39.28,0.4,38.79,381.9,15.1,257.6,0.9,114.9,-14.9,Sub-clinical,BRD,1.8
MAH-PUN-TAG-1009,PUN,Dangi,4.6,164,39.2,0.39,39.16,312.0,30.7,200.4,22.9,88.6,11.4,Sub-clinical,BRD,0.5
MAH-PUN-TAG-1009,PUN,Dangi,4.6,211,39.71,0.17,39.77,251.5,44.1,181.0,30.4,74.7,25.3,Clinical,BRD,0.0
MAH-SAN-TAG-1010,SAN,HF Cross,3.6,110,38.88,0.14,38.52,421.0,10.4,309.6,-19.1,105.7,-5.7,Healthy,Healthy,-1.0
MAH-SAN-TAG-1010,SAN,HF Cross,3.6,180,39.01,0.14,38.48,362.7,22.8,282.1,-8.5,99.3,0.7,Sub-clinical,Ketosis,1.4
MAH-SAN-TAG-1010,SAN,HF Cross,3.6,205,38.66,-0.1,38.39,303.6,35.4,249.1,4.2,91.5,8.5,Sub-clinical,Ketosis,0.4
MAH-SAN-TAG-1010,SAN,HF Cross,3.6,249,38.41,-0.08,38.24,244.9,47.9,197.8,23.9,72.5,27.5,Clinical,Ketosis,0.0
MAH-AHM-TAG-1011,AHM,Red Kandhari,4.8,158,38.74,0.02,38.42,458.6,-1.9,272.8,-4.9,106.6,-6.6,Healthy,Healthy,-1.0
MAH-AHM-TAG-1011,AHM,Red Kandhari,4.8,229,38.79,0.15,38.43,454.0,-0.9,260.6,-0.2,109.7,-9.7,Healthy,Healthy,-1.0
MAH-AHM-TAG-1011,AHM,Red Kandhari,4.8,255,38.63,-0.18,38.45,443.6,1.4,272.5,-4.8,110.8,-10.8,Healthy,Healthy,-1.0
MAH-AHM-TAG-1011,AHM,Red Kandhari,4.8,300,38.77,0.0,38.42,466.6,-3.7,266.1,-2.3,116.8,-16.8,Healthy,Healthy,-1.0
MAH-SOL-TAG-1012,SOL,HF Cross,2.6,134,38.82,-0.22,38.63,445.6,5.2,273.2,-5.1,114.5,-14.5,Healthy,Healthy,-1.0
MAH-SOL-TAG-1012,SOL,HF Cross,2.6,201,39.26,0.28,38.77,445.1,5.3,255.9,1.6,102.0,-2.0,Sub-clinical,BRD,1.2
MAH-SOL-TAG-1012,SOL,HF Cross,2.6,223,39.43,0.4,39.15,406.1,13.6,216.9,16.6,92.8,7.2,Sub-clinical,BRD,0.3
MAH-SOL-TAG-1012,SOL,HF Cross,2.6,266,39.53,0.23,39.75,307.1,34.7,176.7,32.0,57.8,42.2,Clinical,BRD,0.0
MAH-SOL-TAG-1013,SOL,Red Kandhari,2.1,84,38.96,0.34,38.46,445.2,1.1,249.1,4.2,111.2,-11.2,Healthy,Healthy,-1.0
MAH-SOL-TAG-1013,SOL,Red Kandhari,2.1,152,38.43,-0.11,38.44,491.7,-9.3,243.1,6.5,103.8,-3.8,Healthy,Healthy,-1.0
MAH-SOL-TAG-1013,SOL,Red Kandhari,2.1,174,38.47,0.07,38.43,483.5,-7.4,239.6,7.8,98.0,2.0,Healthy,Healthy,-1.0
MAH-SOL-TAG-1013,SOL,Red Kandhari,2.1,218,38.14,0.18,38.4,458.1,-1.8,218.2,16.1,82.9,17.1,Healthy,Healthy,-1.0
MAH-SOL-TAG-1014,SOL,Khillari,5.7,72,37.95,-0.01,38.23,463.2,-2.9,242.7,6.7,94.1,5.9,Healthy,Healthy,-1.0
MAH-SOL-TAG-1014,SOL,Khillari,5.7,144,37.93,0.05,38.22,450.7,-0.2,252.5,2.9,87.8,12.2,Healthy,Healthy,-1.0
MAH-SOL-TAG-1014,SOL,Khillari,5.7,171,37.92,-0.03,38.23,480.3,-6.7,257.4,1.0,91.9,8.1,Healthy,Healthy,-1.0
MAH-SOL-TAG-1014,SOL,Khillari,5.7,216,37.85,-0.1,38.23,478.8,-6.4,246.0,5.4,87.3,12.7,Healthy,Healthy,-1.0
MAH-NAS-TAG-1015,NAS,Murrah Buffalo,5.5,115,38.24,-0.05,38.37,447.5,0.6,253.3,2.6,92.3,7.7,Healthy,Healthy,-1.0
MAH-NAS-TAG-1015,NAS,Murrah Buffalo,5.5,192,37.95,-0.06,38.3,427.7,5.0,214.1,17.7,71.4,28.6,Sub-clinical,Ketosis,1.8
MAH-NAS-TAG-1015,NAS,Murrah Buffalo,5.5,224,38.41,-0.11,38.27,382.5,15.0,210.1,19.2,89.9,10.1,Sub-clinical,Ketosis,0.5
MAH-NAS-TAG-1015,NAS,Murrah Buffalo,5.5,271,38.27,-0.01,38.15,305.0,32.2,156.7,39.7,65.2,34.8,Clinical,Ketosis,0.0
MAH-AHM-TAG-1016,AHM,Murrah Buffalo,2.5,103,38.62,0.06,38.45,502.5,-11.7,256.8,1.2,106.6,-6.6,Healthy,Healthy,-1.0
MAH-AHM-TAG-1016,AHM,Murrah Buffalo,2.5,174,38.81,0.31,38.64,468.6,-4.1,227.8,12.4,68.1,31.9,Sub-clinical,FMD,1.4
MAH-AHM-TAG-1016,AHM,Murrah Buffalo,2.5,200,39.64,0.45,39.26,369.2,18.0,193.3,25.7,73.7,26.3,Sub-clinical,FMD,0.4
MAH-AHM-TAG-1016,AHM,Murrah Buffalo,2.5,244,40.12,0.36,40.14,260.1,42.2,108.8,58.2,40.8,59.2,Clinical,FMD,0.0
MAH-KOL-TAG-1017,KOL,Gir Cross,6.9,112,38.72,0.12,38.5,394.8,16.0,287.8,-10.7,105.3,-5.3,Healthy,Healthy,-1.0
MAH-KOL-TAG-1017,KOL,Gir Cross,6.9,190,38.31,0.23,38.69,379.4,19.3,238.7,8.2,75.0,25.0,Sub-clinical,BRD,1.9
MAH-KOL-TAG-1017,KOL,Gir Cross,6.9,224,39.38,0.32,39.05,380.4,19.1,248.0,4.6,86.0,14.0,Sub-clinical,BRD,0.5
MAH-KOL-TAG-1017,KOL,Gir Cross,6.9,271,39.86,0.43,39.64,322.8,31.3,211.6,18.6,71.9,28.1,Clinical,BRD,0.0
MAH-AHM-TAG-1018,AHM,Red Kandhari,8.5,69,38.32,0.1,38.42,423.3,5.9,261.0,-0.4,95.8,4.2,Healthy,Healthy,-1.0
MAH-AHM-TAG-1018,AHM,Red Kandhari,8.5,137,38.9,0.45,38.58,393.4,12.6,272.3,-4.7,107.9,-7.9,Sub-clinical,Mastitis,1.3
MAH-AHM-TAG-1018,AHM,Red Kandhari,8.5,160,39.35,0.41,38.97,338.7,24.7,261.9,-0.7,86.3,13.7,Sub-clinical,Mastitis,0.3
MAH-AHM-TAG-1018,AHM,Red Kandhari,8.5,204,40.04,0.17,39.68,287.6,36.1,240.3,7.6,95.3,4.7,Clinical,Mastitis,0.0
MAH-SOL-TAG-1019,SOL,Dangi,8.3,91,38.32,-0.08,38.45,409.3,9.0,257.9,0.8,93.3,6.7,Healthy,Healthy,-1.0
MAH-SOL-TAG-1019,SOL,Dangi,8.3,165,38.45,0.14,38.62,390.3,13.3,237.8,8.5,83.8,16.2,Sub-clinical,BRD,1.6
MAH-SOL-TAG-1019,SOL,Dangi,8.3,194,38.99,0.51,39.0,371.2,17.5,211.6,18.6,68.8,31.2,Sub-clinical,BRD,0.4
MAH-SOL-TAG-1019,SOL,Dangi,8.3,240,39.37,0.05,39.63,303.1,32.6,164.9,36.6,53.2,46.8,Clinical,BRD,0.0
MAH-SAN-TAG-1020,SAN,HF Cross,2.2,91,38.51,-0.1,38.65,425.9,9.4,241.5,7.1,104.9,-4.9,Healthy,Healthy,-1.0
MAH-SAN-TAG-1020,SAN,HF Cross,2.2,166,38.33,0.1,38.59,450.1,4.2,239.3,8.0,87.0,13.0,Healthy,Healthy,-1.0
MAH-SAN-TAG-1020,SAN,HF Cross,2.2,196,38.57,0.09,38.62,482.2,-2.6,240.0,7.7,98.5,1.5,Healthy,Healthy,-1.0
MAH-SAN-TAG-1020,SAN,HF Cross,2.2,242,38.34,0.03,38.62,483.0,-2.8,222.7,14.3,94.1,5.9,Healthy,Healthy,-1.0
MAH-SOL-TAG-1021,SOL,Khillari,4.2,76,38.07,0.05,38.2,447.5,0.6,238.0,8.5,93.5,6.5,Healthy,Healthy,-1.0
MAH-SOL-TAG-1021,SOL,Khillari,4.2,153,38.86,0.46,38.43,395.7,12.1,245.0,5.8,100.0,0.0,Sub-clinical,LSD,1.8
MAH-SOL-TAG-1021,SOL,Khillari,4.2,186,39.03,0.29,38.87,298.2,33.7,217.2,16.5,83.8,16.2,Sub-clinical,LSD,0.4
MAH-SOL-TAG-1021,SOL,Khillari,4.2,232,39.68,0.25,39.5,253.7,43.6,181.7,30.1,70.2,29.8,Clinical,LSD,0.0
MAH-PUN-TAG-1022,PUN,Khillari,5.3,153,38.59,-0.12,38.37,455.7,-1.3,294.4,-13.2,110.8,-10.8,Healthy,Healthy,-1.0
MAH-PUN-TAG-1022,PUN,Khillari,5.3,225,38.52,-0.15,38.35,466.2,-3.6,287.2,-10.5,114.1,-14.1,Healthy,Healthy,-1.0
MAH-PUN-TAG-1022,PUN,Khillari,5.3,252,38.95,0.23,38.38,431.0,4.2,300.0,-15.4,118.5,-18.5,Healthy,Healthy,-1.0
MAH-PUN-TAG-1022,PUN,Khillari,5.3,297,38.55,-0.12,38.36,466.0,-3.6,275.7,-6.0,113.0,-13.0,Healthy,Healthy,-1.0
MAH-PUN-TAG-1023,PUN,Khillari,6.8,48,38.14,0.13,38.32,443.9,1.4,274.3,-5.5,82.9,17.1,Healthy,Healthy,-1.0
MAH-PUN-TAG-1023,PUN,Khillari,6.8,126,38.74,0.27,38.56,428.2,4.8,272.3,-4.7,92.4,7.6,Sub-clinical,LSD,2.0
MAH-PUN-TAG-1023,PUN,Khillari,6.8,161,39.3,0.39,38.99,342.5,23.9,251.7,3.2,80.8,19.2,Sub-clinical,LSD,0.5
MAH-PUN-TAG-1023,PUN,Khillari,6.8,208,39.9,0.3,39.66,296.8,34.0,224.7,13.6,68.2,31.8,Clinical,LSD,0.0
MAH-NAS-TAG-1024,NAS,Gir Cross,5.3,115,38.18,0.0,38.36,429.1,8.7,266.9,-2.7,101.9,-1.9,Healthy,Healthy,-1.0
MAH-NAS-TAG-1024,NAS,Gir Cross,5.3,192,38.1,0.12,38.36,453.5,3.5,238.4,8.3,92.3,7.7,Healthy,Healthy,-1.0
MAH-NAS-TAG-1024,NAS,Gir Cross,5.3,224,38.7,0.16,38.39,486.7,-3.6,276.3,-6.3,112.7,-12.7,Healthy,Healthy,-1.0
MAH-NAS-TAG-1024,NAS,Gir Cross,5.3,271,38.32,-0.17,38.36,490.2,-4.3,274.5,-5.6,115.1,-15.1,Healthy,Healthy,-1.0
MAH-KOL-TAG-1025,KOL,HF Cross,2.8,158,38.61,0.03,38.42,488.6,-4.0,271.4,-4.4,113.5,-13.5,Healthy,Healthy,-1.0
MAH-KOL-TAG-1025,KOL,HF Cross,2.8,225,38.94,0.24,38.56,490.0,-4.3,242.3,6.8,96.2,3.8,Sub-clinical,BRD,1.2
MAH-KOL-TAG-1025,KOL,HF Cross,2.8,247,39.25,0.55,38.93,440.1,6.4,213.5,17.9,80.4,19.6,Sub-clinical,BRD,0.3
MAH-KOL-TAG-1025,KOL,HF Cross,2.8,290,39.31,0.18,39.56,352.8,24.9,161.7,37.8,60.6,39.4,Clinical,BRD,0.0
MAH-SOL-TAG-1026,SOL,HF Cross,6.6,136,38.89,-0.16,38.73,438.3,6.7,258.7,0.5,112.6,-12.6,Healthy,Healthy,-1.0
MAH-SOL-TAG-1026,SOL,HF Cross,6.6,206,38.79,-0.24,38.72,455.3,3.1,269.4,-3.6,123.2,-23.2,Healthy,Healthy,-1.0
MAH-SOL-TAG-1026,SOL,HF Cross,6.6,231,39.06,0.1,38.74,457.1,2.7,261.5,-0.6,117.9,-17.9,Healthy,Healthy,-1.0
MAH-SOL-TAG-1026,SOL,HF Cross,6.6,276,39.06,-0.12,38.76,475.4,-1.1,268.9,-3.4,119.9,-19.9,Healthy,Healthy,-1.0
MAH-NAS-TAG-1027,NAS,HF Cross,5.8,50,38.09,0.11,38.33,470.8,-0.2,227.4,12.5,91.6,8.4,Healthy,Healthy,-1.0
MAH-NAS-TAG-1027,NAS,HF Cross,5.8,123,38.15,0.02,38.3,488.5,-3.9,235.5,9.4,92.2,7.8,Healthy,Healthy,-1.0
MAH-NAS-TAG-1027,NAS,HF Cross,5.8,151,38.37,0.03,38.32,493.1,-4.9,241.5,7.1,110.4,-10.4,Healthy,Healthy,-1.0
MAH-NAS-TAG-1027,NAS,HF Cross,5.8,196,38.24,-0.03,38.37,493.9,-5.1,239.5,7.9,96.0,4.0,Healthy,Healthy,-1.0
MAH-NAS-TAG-1028,NAS,HF Cross,4.0,120,37.68,-0.25,38.18,464.4,1.2,252.7,2.8,98.2,1.8,Healthy,Healthy,-1.0
MAH-NAS-TAG-1028,NAS,HF Cross,4.0,187,38.05,-0.08,38.2,440.0,6.4,255.2,1.8,115.8,-15.8,Healthy,Healthy,-1.0
MAH-NAS-TAG-1028,NAS,HF Cross,4.0,208,38.42,0.12,38.18,457.9,2.6,264.4,-1.7,119.6,-19.6,Healthy,Healthy,-1.0
MAH-NAS-TAG-1028,NAS,HF Cross,4.0,252,38.67,0.02,38.22,460.2,2.1,282.8,-8.8,131.2,-31.2,Healthy,Healthy,-1.0
MAH-SOL-TAG-1029,SOL,Gir Cross,3.5,67,37.89,-0.27,38.07,456.5,2.9,242.9,6.6,112.1,-12.1,Healthy,Healthy,-1.0
MAH-SOL-TAG-1029,SOL,Gir Cross,3.5,141,38.07,0.15,38.24,405.9,13.6,224.7,13.6,92.6,7.4,Sub-clinical,BRD,1.6
MAH-SOL-TAG-1029,SOL,Gir Cross,3.5,170,38.42,0.26,38.6,414.9,11.7,189.3,27.2,81.3,18.7,Sub-clinical,BRD,0.4
MAH-SOL-TAG-1029,SOL,Gir Cross,3.5,216,39.04,0.12,39.25,341.1,27.4,160.7,38.2,63.8,36.2,Clinical,BRD,0.0
MAH-SAT-TAG-1030,SAT,HF Cross,8.3,81,38.24,-0.07,38.1,494.0,-5.1,293.5,-12.9,109.4,-9.4,Healthy,Healthy,-1.0
MAH-SAT-TAG-1030,SAT,HF Cross,8.3,149,38.39,0.25,38.23,460.4,2.0,250.0,3.8,85.8,14.2,Sub-clinical,BRD,1.3
MAH-SAT-TAG-1030,SAT,HF Cross,8.3,172,38.72,0.49,38.64,417.5,11.2,231.7,10.9,77.7,22.3,Sub-clinical,BRD,0.3
MAH-SAT-TAG-1030,SAT,HF Cross,8.3,216,38.95,0.25,39.26,326.2,30.6,182.9,29.7,55.7,44.3,Clinical,BRD,0.0
MAH-SAN-TAG-1031,SAN,HF Cross,4.0,120,37.92,-0.05,38.36,459.7,2.2,230.2,11.5,91.4,8.6,Healthy,Healthy,-1.0
MAH-SAN-TAG-1031,SAN,HF Cross,4.0,185,38.78,0.27,38.5,412.5,12.2,249.6,4.0,99.0,1.0,Sub-clinical,BRD,1.1
MAH-SAN-TAG-1031,SAN,HF Cross,4.0,204,39.52,0.48,38.87,385.3,18.0,231.8,10.8,98.6,1.4,Sub-clinical,BRD,0.3
MAH-SAN-TAG-1031,SAN,HF Cross,4.0,247,39.79,0.15,39.55,324.2,31.0,180.5,30.6,80.5,19.5,Clinical,BRD,0.0
MAH-NAS-TAG-1032,NAS,Khillari,5.6,74,37.95,0.33,38.1,453.8,-0.8,275.2,-5.8,95.9,4.1,Healthy,Healthy,-1.0
MAH-NAS-TAG-1032,NAS,Khillari,5.6,148,38.45,0.38,38.29,419.0,6.9,258.7,0.5,92.4,7.6,Sub-clinical,Mastitis,1.6
MAH-NAS-TAG-1032,NAS,Khillari,5.6,177,39.1,0.35,38.7,367.7,18.3,270.2,-3.9,102.4,-2.4,Sub-clinical,Mastitis,0.4
MAH-NAS-TAG-1032,NAS,Khillari,5.6,223,39.75,0.38,39.35,287.2,36.2,216.8,16.6,90.8,9.2,Clinical,Mastitis,0.0
MAH-NAS-TAG-1033,NAS,HF Cross,4.5,91,38.35,0.08,38.39,439.9,6.4,255.4,1.8,105.4,-5.4,Healthy,Healthy,-1.0
MAH-NAS-TAG-1033,NAS,HF Cross,4.5,161,38.56,0.12,38.39,438.2,6.8,266.2,-2.4,114.1,-14.1,Healthy,Healthy,-1.0
MAH-NAS-TAG-1033,NAS,HF Cross,4.5,186,38.36,-0.01,38.4,437.1,7.0,255.9,1.6,108.9,-8.9,Healthy,Healthy,-1.0
MAH-NAS-TAG-1033,NAS,HF Cross,4.5,230,38.68,-0.03,38.4,429.1,8.7,283.8,-9.2,126.1,-26.1,Healthy,Healthy,-1.0
MAH-PUN-TAG-1034,PUN,Murrah Buffalo,4.8,136,38.51,-0.04,38.34,399.1,11.3,291.0,-11.9,104.4,-4.4,Healthy,Healthy,-1.0
MAH-PUN-TAG-1034,PUN,Murrah Buffalo,4.8,209,38.61,0.16,38.32,410.2,8.8,268.4,-3.2,102.8,-2.8,Healthy,Healthy,-1.0
MAH-PUN-TAG-1034,PUN,Murrah Buffalo,4.8,237,38.06,-0.11,38.34,418.4,7.0,252.9,2.7,87.3,12.7,Healthy,Healthy,-1.0
MAH-PUN-TAG-1034,PUN,Murrah Buffalo,4.8,283,38.19,-0.06,38.33,400.4,11.0,269.8,-3.8,90.7,9.3,Healthy,Healthy,-1.0
MAH-AHM-TAG-1035,AHM,HF Cross,6.3,117,37.87,-0.09,38.19,415.4,11.6,252.0,3.1,87.5,12.5,Healthy,Healthy,-1.0
MAH-AHM-TAG-1035,AHM,HF Cross,6.3,186,38.2,0.01,38.2,410.9,12.6,259.8,0.1,92.5,7.5,Healthy,Healthy,-1.0
MAH-AHM-TAG-1035,AHM,HF Cross,6.3,210,38.17,-0.03,38.19,413.3,12.1,257.0,1.2,96.4,3.6,Healthy,Healthy,-1.0
MAH-AHM-TAG-1035,AHM,HF Cross,6.3,254,38.4,-0.14,38.21,437.5,6.9,285.8,-9.9,111.2,-11.2,Healthy,Healthy,-1.0
MAH-PUN-TAG-1036,PUN,Murrah Buffalo,3.4,136,38.76,0.13,38.5,401.6,10.8,272.6,-4.8,107.4,-7.4,Healthy,Healthy,-1.0
MAH-PUN-TAG-1036,PUN,Murrah Buffalo,3.4,204,38.78,-0.15,38.5,448.2,0.4,286.3,-10.1,108.9,-8.9,Healthy,Healthy,-1.0
MAH-PUN-TAG-1036,PUN,Murrah Buffalo,3.4,227,38.82,-0.08,38.46,430.5,4.3,290.7,-11.8,105.7,-5.7,Healthy,Healthy,-1.0
MAH-PUN-TAG-1036,PUN,Murrah Buffalo,3.4,271,38.56,0.1,38.45,455.0,-1.1,286.7,-10.3,107.3,-7.3,Healthy,Healthy,-1.0
MAH-KOL-TAG-1037,KOL,HF Cross,2.1,96,38.2,0.12,38.52,468.3,0.4,232.6,10.5,77.1,22.9,Healthy,Healthy,-1.0
MAH-KOL-TAG-1037,KOL,HF Cross,2.1,168,38.5,0.32,38.67,436.2,7.2,227.0,12.7,71.1,28.9,Sub-clinical,BRD,1.6
MAH-KOL-TAG-1037,KOL,HF Cross,2.1,197,39.17,0.31,39.09,405.0,13.8,211.3,18.7,72.1,27.9,Sub-clinical,BRD,0.4
MAH-KOL-TAG-1037,KOL,HF Cross,2.1,242,39.48,0.2,39.68,324.2,31.0,180.1,30.7,56.2,43.8,Clinical,BRD,0.0
MAH-NAS-TAG-1038,NAS,Gir Cross,3.9,112,38.52,0.1,38.33,458.7,2.4,283.8,-9.2,118.0,-18.0,Healthy,Healthy,-1.0
MAH-NAS-TAG-1038,NAS,Gir Cross,3.9,185,38.77,0.31,38.48,402.2,14.4,253.9,2.3,102.7,-2.7,Sub-clinical,BRD,1.6
MAH-NAS-TAG-1038,NAS,Gir Cross,3.9,213,38.85,0.38,38.89,373.9,20.4,210.5,19.0,81.4,18.6,Sub-clinical,BRD,0.4
MAH-NAS-TAG-1038,NAS,Gir Cross,3.9,259,39.53,0.22,39.52,302.1,35.7,185.4,28.7,69.3,30.7,Clinical,BRD,0.0
MAH-NAS-TAG-1039,NAS,Gir Cross,8.1,84,39.0,-0.06,38.67,439.9,6.4,269.4,-3.6,126.9,-26.9,Healthy,Healthy,-1.0
MAH-NAS-TAG-1039,NAS,Gir Cross,8.1,158,39.37,0.33,38.89,410.8,12.6,256.7,1.3,114.4,-14.4,Sub-clinical,LSD,1.7
MAH-NAS-TAG-1039,NAS,Gir Cross,8.1,189,39.25,0.27,39.3,352.4,25.0,195.8,24.7,68.6,31.4,Sub-clinical,LSD,0.4
MAH-NAS-TAG-1039,NAS,Gir Cross,8.1,235,40.02,0.29,39.98,275.2,41.4,168.6,35.2,68.7,31.3,Clinical,LSD,0.0
MAH-SAN-TAG-1040,SAN,Khillari,8.5,79,38.71,0.08,38.56,453.5,-0.8,274.4,-5.5,104.4,-4.4,Healthy,Healthy,-1.0
MAH-SAN-TAG-1040,SAN,Khillari,8.5,155,38.88,-0.03,38.57,437.9,2.7,287.4,-10.5,114.2,-14.2,Healthy,Healthy,-1.0
MAH-SAN-TAG-1040,SAN,Khillari,8.5,186,38.48,-0.09,38.55,392.7,12.7,272.9,-5.0,98.7,1.3,Healthy,Healthy,-1.0
